 d,LAI,GP,NP,N_L,N_S,N_R,RaL,RaR,RhF,Rhs1,Rhs2,Rhs3,NE,bmR,bmL,bmS
   120.0000,     0.1803,     0.1782,     0.2623,     0.1385,     0.0000,     0.1239,     0.0986,     0.4724,     0.1898,     0.5328,     0.1628,     0.0702,    -0.6932,   140.5774,    14.9667,     0.9219,
   121.0000,     0.1830,     0.3044,     0.2423,     0.1269,     0.0000,     0.1154,     0.0918,     0.4310,     0.1863,     0.5240,     0.1601,     0.0690,    -0.6970,   140.1221,    15.1931,     0.9186,
   122.0000,     0.2346,     0.5603,     2.0237,     1.9610,     0.0000,     0.0628,     0.0669,     0.3084,     0.1760,     0.4962,     0.1516,     0.0654,     1.1345,   139.5521,    19.2254,     0.9033,
   123.0000,     0.2840,     0.7905,     2.0963,     1.9989,     0.0000,     0.0974,     0.0952,     0.3455,     0.1689,     0.4768,     0.1457,     0.0628,     1.2421,   139.0620,    23.5188,     0.8976,
   124.0000,     0.3384,     0.6547,     2.3028,     2.1062,     0.0000,     0.1966,     0.1466,     0.4334,     0.1799,     0.5086,     0.1554,     0.0670,     1.3919,   138.7949,    28.0963,     0.8943,
   125.0000,     0.3947,     1.0308,     2.4054,     2.1594,     0.0000,     0.2459,     0.1774,     0.4383,     0.1874,     0.5306,     0.1621,     0.0699,     1.4554,   138.6388,    32.7748,     0.8911,
   126.0000,     0.4545,     0.8532,     2.6700,     2.2953,     0.0000,     0.3747,     0.2465,     0.5214,     0.2115,     0.5999,     0.1833,     0.0790,     1.5963,   138.7695,    37.7372,     0.8878,
   127.0000,     0.5146,     1.6085,     2.7130,     2.3161,     0.0000,     0.3969,     0.2313,     0.4252,     0.2140,     0.6084,     0.1859,     0.0801,     1.6247,   138.9489,    42.7275,     0.8846,
   128.0000,     0.5765,     1.3767,     2.8604,     2.3898,     0.0000,     0.4706,     0.2990,     0.4862,     0.2283,     0.6505,     0.1987,     0.0857,     1.6971,   139.2911,    47.8627,     0.8813,
   129.0000,     0.6361,     1.6107,     2.7023,     2.3149,     0.0000,     0.3873,     0.2593,     0.3774,     0.2389,     0.6821,     0.2084,     0.0899,     1.4830,   139.4464,    52.8134,     0.8781,
